Subject,ROI,Embedding,2V2 Accuracy,Pearson Correlation,RSA
subj1,language,SBERT1,0.8300563236047107,0.3052473185731729,0.016019704624669635
subj1,language,SBERT2,0.8527393753200204,0.33621134456530755,-0.018142854786344587
subj1,language,T5,0.785099846390169,0.2891464465916573,-0.12171623045718839
subj1,language,CLIP,0.7182283666154634,0.18712510815172764,0.12085219685465574
subj1,vision,SBERT1,0.7883768561187916,0.30055476135004777,0.030531809391183735
subj1,vision,SBERT2,0.7947772657450077,0.33033575715445124,0.009921414570225722
subj1,vision,T5,0.7593958013312851,0.305797976914506,-0.09757584884506455
subj1,vision,CLIP,0.7245775729646696,0.2044580037163522,0.09881382283143231
subj1,task,SBERT1,0.7401433691756271,0.22682499990580599,0.033571627031438414
subj1,task,SBERT2,0.7724014336917563,0.2672570723934281,0.021129155600136125
subj1,task,T5,0.7211469534050179,0.2043577981483103,-0.07953713556006477
subj1,task,CLIP,0.6924731182795699,0.15093679095891008,0.07918145702627777
subj1,dmn,SBERT1,0.7274449564772144,0.2609135709357372,0.0452415927145107
subj1,dmn,SBERT2,0.7437275985663083,0.30399249284041335,0.032214095062063706
subj1,dmn,T5,0.6889400921658986,0.23794995033265245,-0.03118389402106785
subj1,dmn,CLIP,0.6573988735279058,0.16561271469538222,0.07828513178404137
subj2,language,SBERT1,0.7659498207885305,0.2515815389648369,0.051527735295957194
subj2,language,SBERT2,0.8077828981054788,0.27847481757461157,0.051543779152429574
subj2,language,T5,0.7691756272401434,0.23505392220597657,-0.010190060339918296
subj2,language,CLIP,0.6761904761904761,0.1445409935240765,0.0772213409301856
subj2,vision,SBERT1,0.7594982078853046,0.250740837098092,0.05297920374217579
subj2,vision,SBERT2,0.8078853046594983,0.27107964850579214,0.06478731868784367
subj2,vision,T5,0.7467485919098824,0.20026341032659317,0.009680806102593921
subj2,vision,CLIP,0.6503328213005632,0.12181100782435261,0.032831203433994954
subj2,task,SBERT1,0.7242703533026112,0.18409877083852577,0.03406102822500657
subj2,task,SBERT2,0.734152585765489,0.21264843034575648,0.038700384533732014
subj2,task,T5,0.6538146441372248,0.1101125746566124,-0.007964250117807232
subj2,task,CLIP,0.6565796210957501,0.11542953923667701,0.023146879599029727
subj2,dmn,SBERT1,0.74336917562724,0.22919082089197862,0.04785560790661779
subj2,dmn,SBERT2,0.7145929339477727,0.24670090131405406,0.052419684039714545
subj2,dmn,T5,0.6791090629800307,0.1696207535697754,0.00036245948629495307
subj2,dmn,CLIP,0.6408602150537634,0.1273979255062037,0.004227514212911722
