Subject,Embedding,2V2 Accuracy,Pearson Correlation,Rank Accuracy,Top-5 Accuracy,Top-10 Accuracy
subj1,SBERT1,0.9989484895033283,0.43361027680025155,1.0,0.9393396825396826,0.974463492063492
subj1,SBERT2,0.9994343061955965,0.45822520338926953,1.0,0.928215873015873,0.9712380952380952
subj1,T5,0.9656823348694316,0.8703581748370365,7.2,0.45606349206349206,0.5565714285714286
subj1,CLIP,0.9983541218637992,0.6899765809136303,1.2,0.792647619047619,0.8915809523809524
subj2,SBERT1,0.9985884280593957,0.4272255135745603,1.0,0.9218158730158731,0.9553269841269841
subj2,SBERT2,0.9988198668714798,0.445580372146354,1.0,0.9122412698412699,0.9569142857142857
subj2,T5,0.9661177675371224,0.8643076905604146,7.4,0.44817777777777773,0.5470476190476191
subj2,CLIP,0.997309984639017,0.682202824719581,1.0,0.8133460317460317,0.8851555555555555
